deposit,stake,currency_condition,fixed_income,net_revenue,revenue_share,revenue_share_cpa,currency_fixed_income,cpa_at,cpa_simulated_at,cpa_affiliate_at,registered_at,first_deposit_at,id,link_id,partner_link_accumulated_id,punter_id,cpa_betenlace,cpa_partner,deposit_count,stake_count,could_be_fraud,updated_at,created_at
0.00000000,0.00000000,EUR,0.00000000,-0.48000000,0.00000000,0.00000000,EUR,,,,2023-10-26,,90805,6232,2199,1250071,0,0,0,0,false,2024-10-25 17:52:48.414000 +00:00,2024-09-19 00:00:00.000000 +00:00
10.00000000,0.00000000,EUR,0.00000000,11.02000000,0.00000000,0.00000000,EUR,,,,2023-10-27,,90720,6232,2199,1250885,0,0,0,0,false,2024-10-25 17:47:15.851000 +00:00,2023-12-04 00:00:00.000000 +00:00
0.00000000,0.00000000,EUR,0.00000000,8.36000000,0.00000000,0.00000000,EUR,,,,2023-10-28,,90755,6232,2199,1251240,0,0,0,0,false,2024-10-25 17:48:36.170000 +00:00,2024-01-03 00:00:00.000000 +00:00
115.00000000,0.00000000,EUR,0.00000000,81.47000000,0.00000000,0.00000000,EUR,,,,2023-10-28,,90710,6232,2199,1251244,0,0,0,0,false,2024-10-25 17:47:15.682000 +00:00,2023-12-03 00:00:00.000000 +00:00
10.00000000,0.00000000,EUR,0.00000000,3.64000000,0.00000000,0.00000000,EUR,,,,2023-10-29,,90739,6232,2199,1252010,0,0,0,0,false,2024-10-25 17:47:46.815000 +00:00,2023-12-22 00:00:00.000000 +00:00
70.00000000,0.00000000,EUR,0.00000000,26.72000000,0.00000000,0.00000000,EUR,,,,2023-10-29,,90711,6232,2199,1251935,0,0,0,0,false,2024-10-25 17:47:15.682000 +00:00,2023-12-03 00:00:00.000000 +00:00
10.00000000,0.00000000,EUR,0.00000000,8.36000000,0.00000000,0.00000000,EUR,,,,2023-10-29,,90792,6232,2199,1251960,0,0,0,0,false,2024-10-25 17:50:03.876000 +00:00,2024-04-17 00:00:00.000000 +00:00
0.00000000,0.00000000,EUR,0.00000000,6.08000000,0.00000000,0.00000000,EUR,,,,2023-10-30,,90778,6232,2199,1252403,0,0,0,0,false,2024-10-25 17:49:15.466000 +00:00,2024-02-12 00:00:00.000000 +00:00
0.00000000,0.00000000,EUR,0.00000000,-31.54000000,0.00000000,0.00000000,EUR,,,,2023-10-31,,90692,6232,2199,1252815,0,0,0,0,false,2024-10-25 17:47:14.701000 +00:00,2023-12-01 00:00:00.000000 +00:00
0.00000000,0.00000000,EUR,0.00000000,4.76000000,0.00000000,0.00000000,EUR,,,,2023-10-31,,90712,6232,2199,1252845,0,0,0,0,false,2024-10-25 17:47:15.682000 +00:00,2023-12-03 00:00:00.000000 +00:00
